airline,Departure Delay,Arrival Delay,Early Departure,Early Arrival
Alaska,56927,28156,110126,58724
American,251790,153884,445502,263572
Virgin ,24049,14178,35282,17869
Atlantic Southeast,213214,128864,328296,168605
Delta ,250676,141807,601380,347607
Frontier,41156,27101,46683,24200
Hawaiian ,30179,11815,42545,7853
JetBlue,101869,67859,154955,92608
Skywest ,222270,128273,339731,166889
Southwest,469772,281030,740359,353362
Spirit ,56887,39029,55893,27427
US,76285,44307,113399,57710
United ,186024,120971,311395,193414
American Eagle ,103505,69171,170102,102356
