id,destination_airport,destination_airport_name,destination_city,destination_state,destination_latitude,destination_longitude,mean_departure_delay,flight_count,flight_count_delay_ratio
1,ABE,Lehigh Valley International Airport,Allentown,PA,40.652359999999994,-75.4404,8.21654501216545,2514,305.9680189517323
2,ABI,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819,7.801727684080626,2528,324.03079194347777
3,ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60918999999998,9.975922722029988,21003,2105.3691558394635
4,ABR,Aberdeen Regional Airport,Aberdeen,SD,45.449059999999996,-98.42183,3.3845108695652173,742,219.2340425531915
5,ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447,9.728033472803347,963,98.99225806451614
6,ACK,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018,8.303088803088803,520,62.62729597767961
7,ACT,Waco Regional Airport,Waco,TX,31.611290000000004,-97.23052,12.144213649851633,1759,144.84264281874601
8,ACV,Arcata Airport,Arcata/Eureka,CA,40.978120000000004,-124.10862,11.157631954350927,1441,129.14926804321422
9,ACY,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717,12.250925436277102,3819,311.73155202555415
10,ADK,Adak Airport,Adak,AK,51.877959999999995,-176.64603,-1.1326530612244898,105,-92.7027027027027
11,ADQ,Kodiak Airport,Kodiak,AK,57.74997,-152.49386,-1.7589098532494758,491,-279.150178784267
12,AEX,Alexandria International Airport,Alexandria,LA,31.327370000000002,-92.54856,8.16228332337119,3428,419.98052066932735
13,AGS,Augusta Regional Airport (Bush Field),Augusta,GA,33.36996,-81.9645,8.46635550369506,2585,305.3261818348877
14,AKN,King Salmon Airport,King Salmon,AK,58.6768,-156.64921999999999,0.23809523809523808,63,264.6
15,ALB,Albany International Airport,Albany,NY,42.74812,-73.80298,11.095744680851064,8193,738.3911792905081
16,ALO,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034,10.864906832298137,674,62.03458625125053
17,AMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.21937,-101.70593000000001,8.036607548885858,4522,562.6752298769273
18,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,61.174319999999994,-149.99618999999996,5.41824783321621,17233,3180.548496573788
19,APN,Alpena County Regional Airport,Alpena,MI,45.078070000000004,-83.56029000000002,5.72158154859967,626,109.41030809098763
20,ASE,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885,16.573508421353125,3620,218.4208622560587
21,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.640440000000005,-84.42694,7.952531443868446,379199,47682.80423365942
22,ATW,Appleton International Airport,Appleton,WI,44.25741,-88.51948,5.684488448844885,3109,546.9269623780771
23,AUS,Austin-Bergstrom International Airport,Austin,TX,30.19453,-97.66986999999999,11.582904420607052,42078,3632.7676092310116
24,AVL,Asheville Regional Airport,Asheville,NC,35.43619,-82.54181,9.752511721366377,3030,310.6891933656124
25,AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33815,-75.72426999999998,9.629322268326417,1472,152.86641769606436
26,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23488,-85.55206,7.4898720682302775,1967,262.62130809195077
27,BDL,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323000000002,11.7811399374969,20512,1741.0878835854078
28,BET,Bethel Airport,Bethel,AK,60.77978,-161.838,1.5859938208032955,980,617.9090909090909
29,BFL,Meadows Field,Bakersfield,CA,35.4336,-119.05677,7.382183908045977,2819,381.8653172440639
30,BGM,Greater Binghamton Airport,Binghamton,NY,42.20848,-75.97961,6.666666666666667,325,48.75
31,BGR,Bangor International Airport,Bangor,ME,44.80744,-68.82814,6.907455012853471,394,57.03982136211388
32,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.562940000000005,-86.75355,9.388995995847546,13660,1454.894645395672
33,BIL,Billings Logan International Airport,Billings,MT,45.80766,-108.54286,5.788043478260869,3133,541.2882629107982
34,BIS,Bismarck Municipal Airport,Bismarck,ND,46.77411,-100.74672,6.9661333333333335,3795,544.7785476400107
35,BJI,Bemidji Regional Airport,Bemidji,MN,47.50942,-94.93372,3.326474622770919,729,219.15092783505156
36,BLI,Bellingham International Airport,Bellingham,WA,48.79275,-122.53753,-0.4542897327707454,712,-1567.2817337461302
37,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47799000000001,-88.91595,10.903505727178063,2969,272.29774297265465
38,BNA,Nashville International Airport,Nashville,TN,36.12448,-86.67818,9.45379518544656,51990,5499.378713009869
39,BOI,Boise Airport (Boise Air Terminal),Boise,ID,43.56444000000001,-116.22278,9.643345111896348,12819,1329.310509087356
40,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518000000002,10.7629493471136,117981,10961.772298188884
41,BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,29.95083,-94.02069,11.660731948565777,1060,90.90338451098481
42,BQK,Brunswick Golden Isles Airport,Brunswick,GA,31.25903,-81.46631,8.719791666666667,964,110.55309998805399
43,BQN,Rafael Hernández Airport,Aguadilla,PR,18.49486,-67.12944,16.986013986013987,1441,84.83449979415397
44,BRD,Brainerd Lakes Regional Airport,Brainerd,MN,46.397859999999994,-94.13723,3.3385579937304075,643,192.5981220657277
45,BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,25.90683,-97.42586,6.655130784708249,2567,385.7174386261942
46,BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,71.28545,-156.766,2.75027027027027,936,340.3301886792453
