id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,flight_count_delay_ratio
1,ABE,Lehigh Valley International Airport,Allentown,PA,40.652359999999994,-75.4404,6.280210867802109,2513,400.1457997029767
2,ABI,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819,2.5369376805612878,2530,997.2653326826094
3,ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60918999999998,4.414322250639386,21008,4759.054461181924
4,ABR,Aberdeen Regional Airport,Aberdeen,SD,45.449059999999996,-98.42183,9.027285129604365,742,82.19525464712105
5,ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447,7.8844537815126055,963,122.13908872901678
6,ACK,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018,10.346978557504872,520,50.256217030896764
7,ACT,Waco Regional Airport,Waco,TX,31.611290000000004,-97.23052,3.21143537820131,1760,548.0415430267062
8,ACV,Arcata Airport,Arcata/Eureka,CA,40.978120000000004,-124.10862,7.962509012256669,1442,181.09869612459252
9,ACY,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717,7.858695652173913,3820,486.0857538035961
10,ADK,Adak Airport,Adak,AK,51.877959999999995,-176.64603,11.824742268041238,105,8.879686137750653
11,ADQ,Kodiak Airport,Kodiak,AK,57.74997,-152.49386,1.8731182795698924,491,262.1297359357061
12,AEX,Alexandria International Airport,Alexandria,LA,31.327370000000002,-92.54856,8.24249699879952,3428,415.8933877075444
13,AGS,Augusta Regional Airport (Bush Field),Augusta,GA,33.36996,-81.9645,7.975467289719626,2584,323.9935550021972
14,AKN,King Salmon Airport,King Salmon,AK,58.6768,-156.64921999999999,4.349206349206349,63,14.485401459854016
15,ALB,Albany International Airport,Albany,NY,42.74812,-73.80298,-2.24549857196076,8193,-3648.63291489244
16,ALO,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034,-0.5031347962382445,674,-1339.601246105919
17,AMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.21937,-101.70593000000001,6.0883965280950205,4521,742.5600450196961
18,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,61.174319999999994,-149.99618999999996,-0.4801384732734847,17239,-35904.22546743249
19,APN,Alpena County Regional Airport,Alpena,MI,45.078070000000004,-83.56029000000002,1.9899328859060403,626,314.58347386172005
20,ASE,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885,15.26196928635953,3621,237.25640722107133
21,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.640440000000005,-84.42694,2.422555566497481,379125,156497.95828961607
22,ATW,Appleton International Airport,Appleton,WI,44.25741,-88.51948,5.523856858846918,3108,562.6503509087637
23,AUS,Austin-Bergstrom International Airport,Austin,TX,30.19453,-97.66986999999999,5.014036528797836,42067,8389.847133819341
24,AVL,Asheville Regional Airport,Asheville,NC,35.43619,-82.54181,6.324186991869919,3029,478.95484493009803
25,AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33815,-75.72426999999998,6.529207232267037,1472,225.44850356800512
26,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23488,-85.55206,0.5104669887278583,1966,3851.375394321766
27,BDL,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323000000002,0.17430278884462153,20513,117686.01142857142
